habitaciones;baños;precio;link_inmueble;metros_cuadrados;anunciante;zona;tipo_de_operacion;web;zona_metadata
3;2;130000.0;https://www.idealista.com/inmueble/97461767/;130.0;Particular;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;2;145000.0;https://www.idealista.com/inmueble/108435211/;135.0;Inmobiliaria Numero Uno;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;119000.0;https://www.idealista.com/inmueble/108677866/;90.0;Particular;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;3;353556.0;https://www.idealista.com/inmueble/108443580/;400.0;Atelier Inmo Homes;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;1;30597.0;https://www.idealista.com/inmueble/108813301/;84.0;INVEST MSS REAL ESTATE;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;109000.0;https://www.idealista.com/inmueble/107983147/;90.0;inmobiliaria aracil;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;2;155000.0;https://www.idealista.com/inmueble/107229103/;140.0;Particular;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;3;345000.0;https://www.idealista.com/inmueble/1971201/;400.0;Particular;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;2;140000.0;https://www.idealista.com/inmueble/108632061/;150.0;Particular;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;195000.0;https://www.idealista.com/inmueble/105918375/;144.0;Particular;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;159000.0;https://www.idealista.com/inmueble/106302045/;160.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
7;2;105000.0;https://www.idealista.com/inmueble/104696549/;464.0;SERVICIOS INMOBILIARIOS INTERWORLD;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
10;3;350000.0;https://www.idealista.com/inmueble/96852970/;939.0;inmobiliaria aracil;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;1;215000.0;https://www.idealista.com/inmueble/107268434/;250.0;SERVICIOS INMOBILIARIOS INTERWORLD;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;190000.0;https://www.idealista.com/inmueble/108000837/;140.0;Inmobiliaria carbonell;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
18;6;2500.0;https://www.idealista.com/inmueble/95371747/;1200.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;125000.0;https://www.idealista.com/inmueble/106300536/;100.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;94990.0;https://www.idealista.com/inmueble/108693023/;120.0;ALTAGES INMOBILIARIA;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;2;160000.0;https://www.idealista.com/inmueble/107465763/;85.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;235000.0;https://www.idealista.com/inmueble/108748048/;160.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
15;6;3500.0;https://www.idealista.com/inmueble/103839077/;2187.0;Particular;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;380000.0;https://www.idealista.com/inmueble/105398365/;185.0;NEXT STEP PROPERTIES;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;149900.0;https://www.idealista.com/inmueble/108637383/;79.0;Inmobiliaria Hache;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;2;110000.0;https://www.idealista.com/inmueble/105154714/;92.0;inmobiliaria aracil;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;135000.0;https://www.idealista.com/inmueble/108294779/;95.0;inmobiliaria aracil;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;210000.0;https://www.idealista.com/inmueble/106084017/;140.0;Inmobiliaria Terra;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;3;280000.0;https://www.idealista.com/inmueble/99941294/;329.0;Inmobiliaria Terra;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;199000.0;https://www.idealista.com/inmueble/107223506/;124.0;Inmocast;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;60000.0;https://www.idealista.com/inmueble/96557927/;107.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;99700.0;https://www.idealista.com/inmueble/104924267/;51.0;Inmobiliaria Bancaria;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;2;235000.0;https://www.idealista.com/inmueble/108783435/;160.0;Inmobiliaria Blau;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;290000.0;https://www.idealista.com/inmueble/100985940/;226.0;inmobiliaria aracil;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;3;185000.0;https://www.idealista.com/inmueble/108637795/;240.0;Inmobiliaria Blau;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;50000.0;https://www.idealista.com/inmueble/99963210/;40.0;GEALSA;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
6;2;150000.0;https://www.idealista.com/inmueble/105522027/;207.0;inmobiliaria aracil;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;4;280000.0;https://www.idealista.com/inmueble/26915958/;250.0;Particular;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;3;335000.0;https://www.idealista.com/inmueble/100929686/;400.0;GESTIMAR INMOBILIARIA;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;3;369999.0;https://www.idealista.com/inmueble/108593635/;230.0;INMOBILIARIA OLCINA;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
6;3;215000.0;https://www.idealista.com/inmueble/107911329/;190.0;SERVICIOS INMOBILIARIOS INTERWORLD;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;198000.0;https://www.idealista.com/inmueble/106336249/;50.0;Particular;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
7;5;220000.0;https://www.idealista.com/inmueble/108446333/;285.0;Inmobiliaria Blau;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
