id_inmueble,link_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,zona,tipo_de_operacion,fecha_inclusion,lat,lon,municipio,precio_bajada,consumo_energia,emisiones_energia,descripcion,breadcrumb,fotos_total,ref_catastral,edificabilidad_m2techo,parcela_m2,parcela_min_m2,fachada_min_m,altura_max_m,sector_urbanistico,link_inmueble_siguiente,anunciante
https://www.picoblanes.com/casa-chalet-en-cocentaina-gormaig-con-piscina-es1251679.html,https://www.picoblanes.com/casa-chalet-en-cocentaina-gormaig-con-piscina-es1251679.html,CHA0108,"GORMAIG, Cocentaina, Alicante",400000.0,280.0,3.0,2.0,GORMAIG,Venta,2025-08-24,38.723461899827,-0.45813226984184,,,,,,,,,,,,,,,,
https://www.picoblanes.com/parcela-en-alcoy-beniata-es919385.html,https://www.picoblanes.com/parcela-en-alcoy-beniata-es919385.html,PAR0011,"BENIATA, Alcoy, Alicante",195000.0,1708.0,,,BENIATA,Venta,2025-08-24,38.684616136447,-0.49292550882994,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1093547.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1093547.html,LOC0180,"ENSANCHE, Alcoy, Alicante",85000.0,204.0,,,ENSANCHE,Venta,2025-08-24,38.701454399047,-0.47908567874296,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-viaducto-con-garaje-es1106936.html,https://www.picoblanes.com/local-comercial-en-alcoy-viaducto-con-garaje-es1106936.html,LOC0183,"VIADUCTO, Alcoy, Alicante",89000.0,432.0,,,VIADUCTO,Venta,2025-08-24,38.699286232716,-0.46976213817115,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es1085717.html,https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es1085717.html,LOC0178,"SANTA ROSA, Alcoy, Alicante",86000.0,125.0,,,SANTA ROSA,Venta,2025-08-24,38.695351966479,-0.48706792484806,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-ensanche-con-ascensor-es1526092.html,https://www.picoblanes.com/piso-en-alcoy-ensanche-con-ascensor-es1526092.html,PIS0816,"ENSANCHE, Alcoy, Alicante",150000.0,144.0,4.0,1.0,ENSANCHE,Venta,2025-08-24,38.70113177849,-0.48215957035971,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-norte-con-ascensor-es1299065.html,https://www.picoblanes.com/piso-en-alcoy-norte-con-ascensor-es1299065.html,PIS0746,"NORTE, Alcoy, Alicante",187500.0,180.0,4.0,2.0,NORTE,Venta,2025-08-24,38.71078987894,-0.46710171732802,,,,,,,,,,,,,,,,
https://www.picoblanes.com/garaje-parking-en-alcoy-ensanche-con-garaje-es919389.html,https://www.picoblanes.com/garaje-parking-en-alcoy-ensanche-con-garaje-es919389.html,GAR0009,"ENSANCHE, Alcoy, Alicante",13000.0,,,,ENSANCHE,Venta,2025-08-24,38.700007566612,-0.4788065824258,,,,,,,,,,,,,,,,
https://www.picoblanes.com/oficina-en-alcoy-centro-con-ascensor-es988192.html,https://www.picoblanes.com/oficina-en-alcoy-centro-con-ascensor-es988192.html,OFI0023,"CENTRO, Alcoy, Alicante",300.0,50.0,,2.0,CENTRO,Alquiler,2025-08-24,38.698776708996,-0.47377488112381,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-centro-es1547608.html,https://www.picoblanes.com/piso-en-alcoy-centro-es1547608.html,PIS0827,"CENTRO, Alcoy, Alicante",75000.0,75.0,2.0,1.0,CENTRO,Venta,2025-08-24,38.693464729428,-0.47309803989245,,,,,,,,,,,,,,,,
