id_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,anunciante,anunciante_link,link_inmueble,m2_construidos,m2_utiles,terraza,estado,planta,exterior,ascensor,fecha_inclusion
107597487,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,380000.0,258.0,4.0,3.0,Kapitalia Inmobiliaria,https://www.idealista.com/pro/kapitalia-inmobiliaria/,https://www.idealista.com/inmueble/107597487/,,,,,,,,2025-08-23
108574911,Piso en venta en Barri Zona Nord,Alcoy / Alcoi,124000.0,90.0,3.0,2.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/108574911/,,,,,,,,2025-08-23
108696784,Casa o chalet independiente en venta en Centro - Zona Alta,Alcoy / Alcoi,119000.0,90.0,2.0,1.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/108696784/,,,,,,,,2025-08-23
107797145,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,110000.0,95.0,4.0,1.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/107797145/,,,,,,,,2025-08-23
107539533,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,165000.0,140.0,3.0,2.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/107539533/,,,,,,,,2025-08-23
108060272,Casa o chalet independiente en venta en Centro - Zona Alta,Alcoy / Alcoi,567000.0,430.0,7.0,5.0,Atelier Inmo Homes,https://www.idealista.com/pro/atelierinmohomes/,https://www.idealista.com/inmueble/108060272/,,,,,,,,2025-08-23
107510314,Masía en venta en Calle Mariola,Barri Batoi - Sargento - Baradello,550000.0,1383.0,10.0,3.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/107510314/,,,,,,,,2025-08-23
107884884,Piso en venta en Calle Font de Serelles,Barri Zona Nord,124000.0,100.0,3.0,2.0,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/107884884/,,,,,,,,2025-08-23
106025314,Piso en venta en Calle Sant Josep,Centro - Zona Alta,75000.0,70.0,2.0,1.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/106025314/,,,,,,,,2025-08-23
108409004,Casa o chalet independiente en venta en Calle Teix,Barri Batoi - Sargento - Baradello,235000.0,170.0,4.0,2.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108409004/,,,,,,,,2025-08-23
105933194,Ático en venta en Calle Rigobert Albors,Centro - Zona Alta,259000.0,230.0,5.0,2.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/105933194/,,,,,,,,2025-08-23
108387255,Piso en venta en Calle Poeta Joan Valls,Barri Eixample,220000.0,290.0,7.0,3.0,TEAM CONCORDE,https://www.idealista.com/pro/team-concorde/,https://www.idealista.com/inmueble/108387255/,,,,,,,,2025-08-23
107694949,Piso en venta en Calle Escultor Peresejo,Barri Eixample,117500.0,120.0,4.0,2.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/107694949/,,,,,,,,2025-08-23
106795925,Piso en venta en Calle Doña Amàlia,Centro - Zona Alta,149990.0,95.0,3.0,2.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/106795925/,,,,,,,,2025-08-23
